Name,Brand,Price,Discount,Image_Link,Rating,Number of Ratings,Reviews,Current Views,Description
SHEIN Men Drop Shoulder Color Block Tee,SKU: smtop07200521378,US$12.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/26/15904584985420a93e732eb651a0cc270b49ca1083_thumbnail_900x.webp,4.9,137 Reviews,"[['', 'Soy small y me quedó demasiado de grande, bajen el tamaño. Esta hermosa.', '4.9'], ['', 'Love the colors. Soft shirt! Good material.', '4.9'], ['', 'Fire', '4.9']]",137 Reviews,
Tie Dye Drop Shoulder Oversized Tee,SKU: swtee01200601837,US$10.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/03/1591177051cb6140373a8c3fd8e5eafc7c0ec50d70_thumbnail_900x.webp,4.7,6867 Reviews,"[['', 'I ordered a medium because i wanted it to be more oversized but i should’ve just stuck with the small because that still would’ve been oversized enough, but super soft and great purchase!', '4.7'], ['', 'small fits like a large. I’d advice not to size up because the small is good enough for the oversized fit', '4.7'], ['', 'Color is way paler than the picture. Thin material (more than expected) and enough oversized. So do not size up ladies!', '4.7']]",6867 Reviews,
Space Dye V-neck Batwing Sleeve Tee,SKU: swtee03200512398,US$10.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/19/158989308058a2b19b96d6f6b86134d749ba8fa45c_thumbnail_900x.webp,4.8,2460 Reviews,"[['', 'super soft, flowing luxurious fabric. Can be used as casual wear, as well as office and even evening attire! The versatility is astounding! Iam a size 12, and the Large size seems a tad big, yet I think its meant to be that way, Now I have large shoulders and chest, with a long torso, so it is a little short length wise. With all that in mind, anyone smaller than size 1o,12, go for the medium.', '4.8'], ['', 'The color on the model and the actual shirt are very different', '4.8'], ['', 'big and loose. im a usual size L or XL. i got a L and it’s oversized but i don’t mind! batwing sleeves and small hem. super soft and comfy!!', '4.8']]",2460 Reviews,
SHEIN Neon Orange Figure Graphic Drop Shoulder Oversized Tee,SKU: swtee07200330941,US$13.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/28/15880612753afc55518643767845347a09ea5a1668_thumbnail_900x.webp,None,3688 Reviews,"[['', 'Even my Grandma loved it. Go a size down it’s really big usually i’m a large but i got a medium and it’s still oversized!', 'None'], ['', 'This shirt needs to go on your Must Have List! It is cute and comfy. You can style it many ways! I cant wait to wear it out!', 'None'], ['', 'Love this top! It is very oversized but pairing with biker shorts was my idea so it works perfect! The material is more athletic than you would think but it’s really nice! I am 5’4 and 130lbs.', 'None']]",3688 Reviews,
SHEIN Men Letter Graphic Striped Tee,SKU: smtop07200324463,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/24/158769379634321b38cae5152e9fa00831a3cfe064_thumbnail_900x.webp,4.8,1377 Reviews,"[['', 'Nice', '4.8'], ['', 'My boyfriend likes it so much', '4.8'], ['', 'Nice colour & good material.', '4.8']]",1377 Reviews,
Alien Print Spiral Tie Dye Tee,SKU: swtee04200408990,US$10.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/22/15875229597f61f634d1fe716ddc6d17d989caeaf7_thumbnail_900x.webp,4.9,1097 Reviews,"[['', 'In love with the colors! Exactly like in the picture 🌈', '4.9'], ['', 'I love this t shirt !! The material wasn’t what I was expecting it’s kind of slinky but it’s still really nice. I went a couple sizes up because it’s all they had in stock at the time but it is great and has a nice longer length so is perfectly baggy', '4.9'], ['', 'Very soft material. Great colors - 5’7 and 180lbs the medium worked fine for me.', '4.9']]",1097 Reviews,
Floral Print Crop Tee,SKU: swtee00200507194,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/12/15892484368fc5a3748e612cc93bb476f1f7184a03_thumbnail_900x.webp,4.8,2227 Reviews,"[['', 'Super soft, good quality', '4.8'], ['', 'love this!!', '4.8'], ['', 'a lil see through but soft and less cropped than i thought it would be', '4.8']]",2227 Reviews,
California Graphic Short Sleeve Tee,SKU: swtee04200507285,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/01/1590976418c9a95ab39e65dba0667e4ba6d4d906ab_thumbnail_900x.webp,4.9,800 Reviews,"[['', 'It looks just like the picture but the material is weird, it feels like a running shirt', '4.9'], ['', 'I like it. It’s very comfortable', '4.9'], ['', 'very pretty good material, little bit see through but recommend!', '4.9']]",800 Reviews,
Letter & Butterfly Graphic Longline Tee,SKU: swtee04200622124,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/22/15928126500c32d9f754f93d18910dbdafab130e01_thumbnail_900x.webp,4.8,NEW,"[['', 'Love ittttt, with cycling shorts and belt its sooo hot', '4.8'], ['', 'cute design but way too oversized', '4.8'], ['', 'Super cute oversized tee, super comfy but slightly see through.', '4.8']]",NEW,
Butterfly Graphic Longline Tee,SKU: swtee04200424226,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/16/158961886706e2cde81697415a5de4979f27cfead7_thumbnail_900x.webp,4.9,3051 Reviews,"[['', 'very cute and pretty!!! got this to lounge around in and im very satisfied with it! material is very soft and not that see through. please spread awareness about BLM!! educate yourselves and donate or sign petitions! anything can help!', '4.9'], ['', 'Honestly love this shirt . I wore it with jeans & converse . I can’t wait for summer or this virus to be over . Because i bought so much clothes off of shein & this is one of my favorite purchases', '4.9'], ['', 'Very soft and nice', '4.9']]",3051 Reviews,
Butterfly Print Round Neck Tee,SKU: swtee00200427235,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/30/1588216523fe9585ad60dd900bf6f9365c68f6389d_thumbnail_900x.webp,4.8,427 Reviews,"[['', 'Super soft! Not quite as big as I wanted it though, if you want this oversized go up two or three sizes!', '4.8'], ['', 'I didn’t think it would be that tight .. its really cute but its also kind of cropped. Not like “t-shirt material” if that makes sense. But its really cute, ima still wearing it😂.', '4.8'], ['', 'I would definitely re purchase', '4.8']]",427 Reviews,
Roll Up Sleeve Letter Graphic Tee,SKU: swtee04200414582,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/06/1588738785e5d5b0a0fc99e7455e6a428b244eb18c_thumbnail_900x.webp,4.9,3104 Reviews,"[['', 'Super leuk shirtje!', '4.9'], ['', 'HAVENT got it yet just need points but so excited for this', '4.9'], ['', 'Noticed a lot of comments saying it is slightly cropped but it was just the right height for me. Definitely love the colour of this shirt as it is vibrant and the material is wonderful. Would buy more! :)', '4.9']]",3104 Reviews,
Tie Dye Pocket Patched Tee,SKU: swtee01200417136,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/20/15873486343aad7947aa9c9d9ee525c8c1ed6638ec_thumbnail_900x.webp,4.9,4729 Reviews,"[['', 'Not the softest material right out of the bag. Maybe itll soften up after a wash. Otherwise, perfect boxy crop.', '4.9'], ['', 'Jfjdjsisjdjdjdjfjjdjdjdjdjdjkjddjjdfvdhudnddjdjdjdjdjjdjdhdhdhdhdjdifhdhhrhrhdhdhdjjdjdjfhfhffhhdhdhdrhhrhrhrhrhdhduhdhddhdjhdhdhdhdhdhdhdhdhdhdhdhhddhhdhdhdjdjdhdhdhdhdhdhdhdjdhdjdjdjdhdhjdjdjdjdjdjjddjdjjdjdddjdjdjdjjdjdjdjdjddjjdjdjdjdjdjdjdjdjddjjsjso. Cute skkdkdkkdkdkdkdkdjdjdjjdjdjdjjdjdjdjdjjdjdjjdjdjfjdjdjd', '4.9'], ['', 'Love it! Would buy a size up so it’s not so cropped', '4.9']]",4729 Reviews,
Schrute Farms Graphic Tee,SKU: swtee03191112556,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2019/11/19/15741661397014bdbfef4265acdf829fc9038b10de_thumbnail_900x.webp,4.8,4824 Reviews,"[['', 'I was so excited to find a shirt from the office that wasn’t the same old Dunder Mifflin shirt everyone’s already got. The fabric is soft and it fits great!', '4.8'], ['', 'bears, beets, battlestar galactica', '4.8'], ['', 'Absolutely love it! I went a size up and it works great! Good quality!', '4.8']]",4824 Reviews,
Fire Graphic Short Sleeve Tee,SKU: swtee01190704683,US$9.00,NULL,https://img.ltwebstatic.com/images2_pi/2019/07/09/1562661961914831101_thumbnail_900x1199.webp,None,3202 Reviews,"[['', 'This shirt is literally fire I’m happy with my purchase', 'None'], ['', 'Thought the M would b oversized on me (I’m 5’6) it’s tighter than I expected but I still love it', 'None'], ['', 'super edgy, great fit and good material. Glad I purchased and I definitely recommend 🔥', 'None']]",3202 Reviews,
Reflective Butterfly Crop Tee,SKU: swtee04200514853,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/11/159187097477500a31a7f5aad2f89644b8ad6a8791_thumbnail_900x.webp,4.7,131 Reviews,"[['', 'Cute everyday top', '4.7'], ['', 'So cute and it’s oversized', '4.7'], ['', 'Looks really cute, the butterfly is dark grey with no flash and then lights up with the flash', '4.7']]",131 Reviews,
Car & Letter Graphic Tee,SKU: swtee23200528370,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/22/15927944678191b7a8a10977c3b879ac4a4ebb88e9_thumbnail_900x.webp,5.0,NEW,"[['', 'so awesome and soft! very comfy', '5.0'], ['', 'Definitely cuter if you tie it up ! Follow my TikTok to see the clothes put on @official.maryamm', '5.0'], ['', 'สวย ผ้าดี', '5.0']]",NEW,
Neon Lime Slogan Graphic Tee,SKU: swtee03200327292,US$10.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/03/30/1585570993f1c31020b3b5678d0058bc49a1164427_thumbnail_900x.webp,4.8,1617 Reviews,"[['', 'La tela es un poco delgada pero de excelente calidad !', '4.8'], ['', 'I like this t-shirt. It has a nice color and cool slogan. Fabric is slightly stretching but pay attention on sizing (specially on the shoulder measurement) because this shirt has a small fit.', '4.8'], ['', 'Too small for me. With SHEIN, I need to get a size up. Also, I don’t like how the shirts are all swimsuit material.', '4.8']]",1617 Reviews,
SHEIN Men Drop Shoulder Embroidery Letter Spliced Tee,SKU: smtop07200608590,US$13.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/29/1593425285d9ebf5036392f587de8d98f86ffa3535_thumbnail_900x.webp,5.0,NEW,"[['', 'haven’t received it yet but i’m so excited 😍', '5.0'], ['', 'Bout 2 one for me (Small) and one for my bf (Large) it’s so cute 😍', '5.0'], ['', 'Bout 2 one for me (Small) and one for my bf (Large) it’s so cute 😍', '5.0']]",NEW,
SHEIN Men Slogan Print Tie Dye Tee,SKU: smtop07200520367,US$14.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/27/1590542203a5ab0e06f9821ddeab82fd73c9220881_thumbnail_900x.webp,4.9,103 Reviews,"[['', 'big, but thats how i wanted it', '4.9'], ['', 'I ordered it for my brother he really liked it, the material is great . Like please 👍 طلبتها لاخوي عجبته مرره و القماش يجنن ثقيل', '4.9'], ['', 'Fits perfect on my boyfriend', '4.9']]",103 Reviews,
Drop Shoulder Butterfly Print Tee,SKU: swtee04200506293,US$13.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/20/1589939746ada5cf17d4cd0bebcfb17cbf9fba1e4e_thumbnail_900x.webp,4.9,1755 Reviews,"[['', 'wide shirt ᵇᵘᵗ ⁿᵒᵗ long', '4.9'], ['', 'Legit exactly what i wanted to pair with bicycle shorts! In love with this top! The top is super comfortable & is made out of nice material! Love the print also. Fits perfect as an oversized tshirt. Not too oversized not too small! Love it!', '4.9'], ['', 'Love it', '4.9']]",1755 Reviews,
