Name,Brand,Price,Discount,Image_Link,Rating,Number of Ratings,Reviews,Current Views,Description
Burnt Out Car Graphic Oversized Tee,SKU: swtee00191214066,US$12.00,NULL,https://img.ltwebstatic.com/images3_pi/2019/12/14/15763056126034e75a86935506cd8f3698bc10d1ab_thumbnail_900x.webp,4.8,2583 Reviews,"[['', 'Cute fit as a over sized tee but not to big ( I’m 5’1 101 pounds)', '4.8'], ['', 'I listened to reviews about sizing down bc it’s way too big but I wnated it to be a little big and they were all wrong. If you’re wanting this to go with biker shorts get a large !', '4.8'], ['', 'A little big', '4.8']]",2583 Reviews,
Letter Graphic Oversized Longline Tee,SKU: swtee04200421920,US$12.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/11/15891686336d5caf7c09da252b4c0eb4245b581d58_thumbnail_900x.webp,4.8,596 Reviews,"[['', 'I was going for more of a street wear fashion type look, so this is exactly what I wanted:)', '4.8'], ['', 'This tee is definitely oversized to the point where you can size down. I went with an XS (usually a S) and I’m glad I did because it still looks oversized.', '4.8'], ['', 'Very very OVERSIZE', '4.8']]",596 Reviews,
Round Neck Solid Tee,SKU: swtee00200106641,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/01/06/157830980509ab7835a8325cd0c34817e366ea6ffc_thumbnail_900x.webp,None,1219 Reviews,"[['', 'Awesome cropped tee! I want more! Sizing is perfect for me. Very comfortable. Its not loose fitting as it might appear in the model photo. I want more colours of this shirt.', 'None'], ['', 'Would size up if your looking for a loose fit', 'None'], ['', 'I got a large just so it would be big on me & it actually fits perfect so I’m glad I sized up. I’m usually a small and I got a large. It’s very soft and comfortable.', 'None']]",1219 Reviews,
Dinosaur Print Round Neck Tee,SKU: swtee01200414048,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/14/158687704626728ffeb43041ae5641f0bd5c76dde8_thumbnail_900x.webp,4.8,834 Reviews,"[['', 'I just love dinosaurs and I needed some new clothes so... BAM, dinosaur shirt!', '4.8'], ['', 'youthful', '4.8'], ['', 'True to size and very comfortable! A bit weird looking around the chest area. I feel like the patches will come off easily so maybe wash it by hand', '4.8']]",834 Reviews,
SHEIN Contrast Neck Striped Rib-knit Crop Tee,SKU: swtee07190424299,US$5.00,NULL,https://img.ltwebstatic.com/images2_pi/2019/05/17/15580854481074898249_thumbnail_900x1199.webp,None,9999+ Reviews,"[['', 'Very cute, but kinda new for me with the length.', 'None'], ['', 'At first I was really confused whether to buy or not,but after getting this top Im really happy 4 the decision that I made, its the prettiest dress ever I bought from shein, Im usually xs or s but by going through review I got myself a M and it was perfect ❣️,so do size up and buy this one its really very pretty and comfy😊', 'None'], ['', 'really good quality fabric (not thin or transparent at all) and overall very cute and well-fitting. Ordered a medium because I have a larger bust area and it fits super well and looks great :)', 'None']]",9999+ Reviews,
Figure & Slogan Oversized Tee,SKU: swtee00200515849,US$13.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/28/15906472737cec502de5382a57d7690bb8e0ec0c61_thumbnail_900x.webp,None,1152 Reviews,"[['', 'I WILL BE DOING A VIDEO ON THE CLOTHES I BROUGHT FEOM SHIEN!!!! 🦋ITS AN ORIGINAL IDEA🦋 I’m doing ‘omighty dupes’ so please check me out and subscribe if you enjoy my content!! 🥳🧚🏽\u200d♀️🎉💓 @ marah fitzgerald on YouTube x (ignore the weight and stuff I’ll explain in my video my sizes and stuff)', 'None'], ['', 'It’s really cute but it’s really thin and the picture isn’t that vibrant', 'None'], ['', 'Is true to size if the oversized fit is what you are looking for shame there isn’t an XS to make it a ‘normal fitting’ tee for people who are already a S but it still fits really nice. Good quality and nice print. I’m 4’10 and size 34DD (UK Bra sizing) and S has plenty of room also quite long.', 'None']]",1152 Reviews,
SHEIN Drawstring Side Solid Tee,SKU: swtee07200526576,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/20/159262946244199f2ce83e363ed4ba64dc2dfe50c5_thumbnail_900x.webp,None,1410 Reviews,"[['', 'Usually I am a size small, but with tight fitting tops I’ll up a size. I got a medium and it was perfect! For reference I’m 5’4 and 117 pounds. If you’re looking for a very fitted look then get your usual size but if you want it a bit loose up a size. It’s not that baggy looking even when sizing up. Great material and very comfortable! Looks just like the picture!', 'None'], ['', 'love it. fits perfectly.', 'None'], ['', 'It fits really nice and it’s super stretchy but sub to my channel @ Diane Paris💗', 'None']]",1410 Reviews,
Embroidered Butterfly Graphic Oversized Tee,SKU: swtee01200514006,US$14.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/26/1590473713c535d0a1e675a570b06536a19ded54cd_thumbnail_900x.webp,4.8,368 Reviews,"[['', 'Not oversized, if youre looking for it to be - size up! Ordering a medium as we speak, gonna keep the small though for when i wanna wear a normal sized tee - super cute!', '4.8'], ['', 'Love it', '4.8'], ['', 'very cute but the butterfly is a patch it isn’t actually embroidered on', '4.8']]",368 Reviews,
Butterfly Print Round Neck Tee,SKU: swtee23200522088,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/30/15908106910c1af624a57a1d2ca99ac4d0f17d2bc4_thumbnail_900x.webp,4.9,1022 Reviews,"[['', 'nicw and confortable shirt', '4.9'], ['', 'Beautiful', '4.9'], ['', 'Got a gift for person who wears a medium and it got tight I recommend going a size up', '4.9']]",1022 Reviews,
Car & Letter Graphic Tee,SKU: swtee23200703583,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/07/03/1593760713293afa65697afac15a62ddcec3d57b04_thumbnail_900x.webp,5.0,NEW,"[['', 'So cute I love it', '5.0']]",NEW,
Letter Graphic Oversized Tee,SKU: swtee04200421759,US$14.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/04/15885798809896370096e82bd41c3653d96fe800b5_thumbnail_900x.webp,4.8,1177 Reviews,"[['', 'Try on on my tiktok @rxmygg', '4.8'], ['', 'In love with this shirt! Looks exactly like the pic. It is definitely oversized so you can even size down if you want to. I’m usually a size sm and went with a xs and it is still oversized (:', '4.8'], ['', 'Keep in mind this is pretty oversized; I usually wear a large and I ordered a medium and it still fits me pretty large', '4.8']]",1177 Reviews,
